PSRAID,COUNTRY,PHONETYPE,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9A,Q9B,Q9C,Q9D,Q9E,Q9F,Q9G,Q9H,Q9I
101014,Czech Republic, ,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat good,Remain the same,Better off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable
101015,Czech Republic, ,Satisfied, , ,Somewhat bad,Remain the same,Somewhat good,Improve a little,Worse off,Very favorable,Very favorable,Very favorable,Very unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable
101016,Czech Republic, ,Dissatisfied, , ,Very bad,Remain the same,Somewhat bad,Remain the same,Worse off,Somewhat unfavorable,Don't know,Somewhat unfavorable,Don't know,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Don't know
101017,Czech Republic, ,Dissatisfied, , ,Very bad,Worsen a little,Somewhat good,Worsen a little,Worse off,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Very unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
101018,Czech Republic, ,Dissatisfied, , ,Very bad,Worsen a lot,Somewhat bad,Worsen a lot,Worse off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Very unfavorable,Very unfavorable,Very unfavorable,Somewhat unfavorable
101019,Czech Republic, ,Dissatisfied, , ,Somewhat bad,Worsen a little,Somewhat bad,Improve a little,Worse off,Somewhat unfavorable,Don't know,Don't know,Don't know,Don't know,Somewhat unfavorable,Somewhat favorable,Somewhat unfavorable,Don't know
101020,Czech Republic, ,Dissatisfied, , ,Somewhat bad,Worsen a little,Somewhat bad,Improve a little,Worse off,Somewhat unfavorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Very favorable,Somewhat unfavorable,Don't know,Don't know,Somewhat favorable
101021,Czech Republic, ,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat good,Remain the same,Don't know,Somewhat favorable,Somewhat favorable,Don't know,Somewhat unfavorable,Don't know,Don't know,Somewhat favorable,Don't know,Somewhat unfavorable
101022,Czech Republic, ,Satisfied, , ,Somewhat good,Improve a little,Somewhat good,Improve a little,Better off,Very favorable,Very favorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable
101023,Czech Republic, ,Dissatisfied, , ,Very bad,Don't know,Somewhat good,Don't know,Don't know,Somewhat unfavorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat unfavorable,Don't know,Somewhat favorable,Somewhat unfavorable
101024,Czech Republic, ,Dissatisfied, , ,Somewhat bad,Don't know,Don't know,Remain the same,Worse off,Don't know,Don't know,Don't know,Don't know,Don't know,Somewhat unfavorable,Don't know,Don't know,Don't know
101025,Czech Republic, ,Dissatisfied, , ,Somewhat bad,Improve a little,Somewhat bad,Worsen a little,Better off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable
101026,Czech Republic, ,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat good,Improve a little,Better off,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Very favorable,Somewhat unfavorable,Very unfavorable
101027,Czech Republic, ,Dissatisfied, , ,Very bad,Remain the same,Very bad,Remain the same,Same (Volunteered),Somewhat favorable,Don't know,Somewhat unfavorable,Don't know,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Don't know,Very unfavorable
101028,Czech Republic, ,Satisfied, , ,Somewhat good,Improve a little,Somewhat good,Improve a little,Better off,Somewhat favorable,Very favorable,Somewhat unfavorable,Don't know,Somewhat favorable,Very favorable,Don't know,Somewhat favorable,Somewhat favorable
101029,Czech Republic, ,Dissatisfied, , ,Somewhat bad,Worsen a little,Somewhat good,Remain the same,Worse off,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Very unfavorable,Somewhat favorable,Very unfavorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable
101030,Czech Republic, ,Dissatisfied, , ,Very bad,Remain the same,Somewhat good,Remain the same,Better off,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Very unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Very unfavorable
101031,Czech Republic, ,Dissatisfied, , ,Somewhat bad,Worsen a little,Somewhat good,Remain the same,Worse off,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable
101032,Czech Republic, ,Dissatisfied, , ,Very bad,Worsen a lot,Somewhat good,Remain the same,Worse off,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable
101033,Czech Republic, ,Dissatisfied, , ,Very bad,Remain the same,Refused,Remain the same,Worse off,Somewhat favorable,Somewhat favorable,Very unfavorable,Very unfavorable,Very unfavorable,Very unfavorable,Very unfavorable,Very unfavorable,Very unfavorable
101034,Czech Republic, ,Satisfied, , ,Somewhat good,Remain the same,Somewhat good,Remain the same,Refused,Somewhat favorable,Very favorable,Somewhat unfavorable,Very unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat unfavorable,Very favorable,Very favorable
101035,Czech Republic, ,Dissatisfied, , ,Very bad,Remain the same,Somewhat good,Worsen a little,Worse off,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable
101036,Czech Republic, ,Don't know, , ,Very good,Worsen a little,Very good,Remain the same,Don't know,Very favorable,Somewhat favorable,Somewhat unfavorable,Very unfavorable,Very unfavorable,Somewhat favorable,Very unfavorable,Very favorable,Very favorable
101037,Czech Republic, ,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat good,Worsen a little,Worse off,Somewhat favorable,Somewhat favorable,Don't know,Don't know,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Very favorable,Somewhat unfavorable
101038,Czech Republic, ,Dissatisfied, , ,Somewhat bad,Improve a little,Somewhat bad,Improve a little,Worse off,Very favorable,Very favorable,Very unfavorable,Very favorable,Very unfavorable,Very favorable,Somewhat favorable,Very favorable,Very unfavorable
101039,Czech Republic, ,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat good,Worsen a little,Better off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable,Very favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
101040,Czech Republic, ,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat bad,Remain the same,Worse off,Somewhat favorable,Don't know,Somewhat unfavorable,Very unfavorable,Don't know,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable
101041,Czech Republic, ,Dissatisfied, , ,Very bad,Worsen a lot,Somewhat bad,Remain the same,Better off,Very unfavorable,Very unfavorable,Somewhat unfavorable,Very unfavorable,Very unfavorable,Very unfavorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable
101042,Czech Republic, ,Dissatisfied, , ,Very bad,Worsen a little,Somewhat good,Worsen a lot,Worse off,Somewhat unfavorable,Somewhat unfavorable,Very unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable
101043,Czech Republic, ,Satisfied, , ,Somewhat bad,Worsen a little,Somewhat good,Worsen a little,Worse off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat unfavorable
101044,Czech Republic, ,Dissatisfied, , ,Very bad,Worsen a little,Very good,Remain the same,Worse off,Somewhat unfavorable,Don't know,Somewhat unfavorable,Somewhat unfavorable,Don't know,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Don't know
101045,Czech Republic, ,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat bad,Improve a lot,Better off,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Very unfavorable,Somewhat favorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Very unfavorable
101046,Czech Republic, ,Dissatisfied, , ,Somewhat bad,Improve a lot,Somewhat good,Improve a little,Worse off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable
101047,Czech Republic, ,Dissatisfied, , ,Somewhat good,Remain the same,Somewhat good,Remain the same,Worse off,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
101048,Czech Republic, ,Dissatisfied, , ,Somewhat good,Remain the same,Somewhat good,Remain the same,Don't know,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Very unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
101049,Czech Republic, ,Dissatisfied, , ,Somewhat good,Remain the same,Somewhat good,Remain the same,Better off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
101050,Czech Republic, ,Dissatisfied, , ,Somewhat bad,Worsen a lot,Somewhat good,Remain the same,Worse off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Don't know,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Don't know,Somewhat unfavorable
101051,Czech Republic, ,Dissatisfied, , ,Somewhat good,Remain the same,Somewhat bad,Improve a little,Worse off,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Don't know,Don't know,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Don't know
101052,Czech Republic, ,Dissatisfied, , ,Somewhat bad,Improve a little,Somewhat good,Remain the same,Don't know,Very favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Somewhat unfavorable
101053,Czech Republic, ,Don't know, , ,Somewhat bad,Worsen a little,Very bad,Remain the same,Worse off,Somewhat favorable,Don't know,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable
101054,Czech Republic, ,Dissatisfied, , ,Somewhat bad,Worsen a little,Somewhat good,Remain the same,Don't know,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Very favorable,Very favorable,Very favorable,Somewhat unfavorable
101055,Czech Republic, ,Dissatisfied, , ,Don't know,Don't know,Somewhat good,Remain the same,Don't know,Somewhat unfavorable,Somewhat favorable,Don't know,Don't know,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Don't know
101056,Czech Republic, ,Satisfied, , ,Somewhat bad,Remain the same,Somewhat good,Improve a little,Better off,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Don't know,Somewhat unfavorable,Somewhat favorable,Very favorable,Somewhat favorable,Somewhat unfavorable
101057,Czech Republic, ,Don't know, , ,Somewhat good,Remain the same,Somewhat good,Remain the same,Don't know,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Don't know,Somewhat favorable,Don't know,Very favorable,Somewhat unfavorable
101058,Czech Republic, ,Satisfied, , ,Somewhat good,Don't know,Very good,Remain the same,Better off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Refused,Somewhat favorable,Somewhat favorable,Very favorable,Very favorable,Somewhat favorable
101059,Czech Republic, ,Dissatisfied, , ,Very bad,Worsen a little,Very bad,Improve a little,Worse off,Don't know,Somewhat favorable,Somewhat favorable,Don't know,Don't know,Somewhat unfavorable,Somewhat favorable,Don't know,Don't know
101060,Czech Republic, ,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat bad,Improve a little,Worse off,Somewhat unfavorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Very favorable,Somewhat unfavorable,Somewhat unfavorable
101061,Czech Republic, ,Dissatisfied, , ,Somewhat bad,Worsen a little,Somewhat bad,Remain the same,Better off,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable
101062,Czech Republic, ,Dissatisfied, , ,Very bad,Improve a little,Very good,Remain the same,Worse off,Don't know,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Very favorable,Don't know,Somewhat favorable,Very favorable,Very favorable
101063,Czech Republic, ,Dissatisfied, , ,Very bad,Improve a little,Somewhat bad,Remain the same,Worse off,Very unfavorable,Somewhat favorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable
101064,Czech Republic, ,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat good,Remain the same,Better off,Don't know,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Don't know
101065,Czech Republic, ,Dissatisfied, , ,Very bad,Worsen a little,Somewhat bad,Worsen a little,Worse off,Refused,Don't know,Don't know,Don't know,Don't know,Somewhat unfavorable,Don't know,Don't know,Don't know
101066,Czech Republic, ,Dissatisfied, , ,Somewhat bad,Worsen a lot,Somewhat bad,Improve a little,Worse off,Somewhat unfavorable,Somewhat favorable,Don't know,Don't know,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Don't know
101067,Czech Republic, ,Refused, , ,Somewhat bad,Remain the same,Somewhat good,Worsen a little,Worse off,Somewhat favorable,Don't know,Somewhat favorable,Don't know,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable
101068,Czech Republic, ,Dissatisfied, , ,Very bad,Worsen a little,Somewhat bad,Worsen a lot,Worse off,Somewhat favorable,Somewhat favorable,Very favorable,Somewhat favorable,Very favorable,Somewhat unfavorable,Very unfavorable,Somewhat favorable,Very unfavorable
101069,Czech Republic, ,Dissatisfied, , ,Somewhat bad,Remain the same,Very bad,Worsen a little,Better off,Somewhat favorable,Somewhat favorable,Very unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
101070,Czech Republic, ,Dissatisfied, , ,Somewhat bad,Worsen a little,Somewhat good,Remain the same,Worse off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Very unfavorable,Somewhat favorable,Somewhat unfavorable,Don't know,Don't know,Somewhat favorable
101071,Czech Republic, ,Dissatisfied, , ,Somewhat good,Don't know,Somewhat good,Remain the same,Same (Volunteered),Somewhat favorable,Somewhat favorable,Somewhat favorable,Don't know,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Don't know
101072,Czech Republic, ,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat good,Worsen a little,Better off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
101073,Czech Republic, ,Satisfied, , ,Somewhat good,Remain the same,Somewhat good,Improve a little,Better off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Very unfavorable,Somewhat favorable,Very favorable,Somewhat favorable,Very favorable,Very favorable
101074,Czech Republic, ,Dissatisfied, , ,Very bad,Remain the same,Somewhat bad,Remain the same,Better off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Very favorable,Somewhat favorable,Very favorable,Somewhat favorable
101075,Czech Republic, ,Satisfied, , ,Very good,Remain the same,Very good,Improve a lot,Don't know,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Very favorable,Somewhat unfavorable,Very favorable,Don't know,Very favorable,Somewhat favorable
101076,Czech Republic, ,Dissatisfied, , ,Somewhat good,Remain the same,Very bad,Improve a little,Worse off,Very favorable,Very favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Don't know,Refused,Somewhat unfavorable
101077,Czech Republic, ,Don't know, , ,Somewhat good,Improve a little,Somewhat good,Improve a little,Worse off,Somewhat favorable,Somewhat favorable,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Somewhat favorable
101078,Czech Republic, ,Dissatisfied, , ,Very bad,Worsen a lot,Very bad,Worsen a lot,Worse off,Very favorable,Very favorable,Very unfavorable,Very unfavorable,Very favorable,Somewhat favorable,Somewhat favorable,Very unfavorable,Very unfavorable
101079,Czech Republic, ,Dissatisfied, , ,Somewhat bad,Remain the same,Very good,Improve a lot,Better off,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable
101080,Czech Republic, ,Dissatisfied, , ,Very bad,Worsen a lot,Somewhat bad,Worsen a little,Worse off,Somewhat unfavorable,Somewhat favorable,Somewhat unfavorable,Very unfavorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable
101081,Czech Republic, ,Dissatisfied, , ,Somewhat bad,Worsen a lot,Somewhat bad,Worsen a little,Worse off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable
101082,Czech Republic, ,Dissatisfied, , ,Somewhat bad,Worsen a little,Somewhat bad,Remain the same,Worse off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Very unfavorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable
101083,Czech Republic, ,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat good,Improve a little,Worse off,Somewhat favorable,Very favorable,Very favorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable
101084,Czech Republic, ,Dissatisfied, , ,Somewhat bad,Worsen a little,Somewhat bad,Remain the same,Worse off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable
101085,Czech Republic, ,Dissatisfied, , ,Somewhat bad,Worsen a little,Somewhat good,Improve a lot,Better off,Somewhat unfavorable,Very unfavorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Very unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
101086,Czech Republic, ,Satisfied, , ,Somewhat good,Remain the same,Somewhat bad,Remain the same,Worse off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
101087,Czech Republic, ,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat good,Remain the same,Worse off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Very unfavorable,Somewhat favorable,Very favorable
101088,Czech Republic, ,Dissatisfied, , ,Very bad,Worsen a little,Very bad,Improve a little,Better off,Don't know,Somewhat unfavorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable
101089,Czech Republic, ,Satisfied, , ,Somewhat bad,Remain the same,Somewhat good,Remain the same,Better off,Somewhat favorable,Somewhat favorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Very unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable
101090,Czech Republic, ,Dissatisfied, , ,Somewhat good,Remain the same,Somewhat good,Improve a little,Better off,Somewhat unfavorable,Somewhat favorable,Very unfavorable,Don't know,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Don't know
101091,Czech Republic, ,Dissatisfied, , ,Somewhat bad,Worsen a little,Somewhat bad,Don't know,Worse off,Somewhat favorable,Don't know,Somewhat unfavorable,Very unfavorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable
101092,Czech Republic, ,Dissatisfied, , ,Somewhat good,Don't know,Somewhat good,Remain the same,Don't know,Somewhat favorable,Somewhat favorable,Very unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable
101093,Czech Republic, ,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat good,Remain the same,Worse off,Very unfavorable,Somewhat favorable,Don't know,Don't know,Somewhat favorable,Very unfavorable,Somewhat unfavorable,Somewhat unfavorable,Very unfavorable
101094,Czech Republic, ,Dissatisfied, , ,Very bad,Remain the same,Somewhat bad,Worsen a little,Worse off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable
101095,Czech Republic, ,Satisfied, , ,Somewhat good,Remain the same,Somewhat good,Improve a little,Better off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
101096,Czech Republic, ,Dissatisfied, , ,Somewhat bad,Worsen a little,Somewhat good,Worsen a little,Better off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Very unfavorable,Very unfavorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable
101097,Czech Republic, ,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat bad,Remain the same,Worse off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable
101098,Czech Republic, ,Don't know, , ,Very bad,Improve a little,Somewhat good,Remain the same,Same (Volunteered),Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Very unfavorable
101099,Czech Republic, ,Dissatisfied, , ,Very bad,Worsen a little,Very bad,Worsen a little,Worse off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat unfavorable
101100,Czech Republic, ,Dissatisfied, , ,Very bad,Worsen a little,Somewhat good,Worsen a little,Worse off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Very favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
101101,Czech Republic, ,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat good,Remain the same,Worse off,Somewhat favorable,Somewhat favorable,Very unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Very unfavorable
101102,Czech Republic, ,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat bad,Remain the same,Don't know,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Don't know,Somewhat favorable
101103,Czech Republic, ,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat bad,Improve a little,Better off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat unfavorable
101104,Czech Republic, ,Dissatisfied, , ,Somewhat good,Worsen a little,Somewhat bad,Remain the same,Worse off,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Very unfavorable,Somewhat favorable
101105,Czech Republic, ,Satisfied, , ,Somewhat good,Remain the same,Somewhat good,Remain the same,Better off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Very favorable,Somewhat favorable,Somewhat unfavorable
