PSRAID,COUNTRY,PHONETYPE,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9A,Q9B,Q9C,Q9D,Q9E,Q9F,Q9G,Q9H,Q9I,Q9J,Q9K,Q9L
118398,Lebanon, ,Dissatisfied, , ,Very bad,Worsen a lot,Very bad,Worsen a lot,Worse off,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Very unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat unfavorable, ,Very unfavorable,Very unfavorable,Very unfavorable,Very unfavorable
118399,Lebanon, ,Dissatisfied, , ,Somewhat bad,Worsen a little,Somewhat good,Worsen a little,Worse off,Somewhat favorable,Very favorable,Very favorable,Very unfavorable,Somewhat unfavorable,Very favorable,Very favorable, ,Very unfavorable,Very unfavorable,Very unfavorable,Very unfavorable
118400,Lebanon, ,Dissatisfied, , ,Somewhat bad,Improve a lot,Very good,Don't know,Same (Volunteered),Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable, ,Somewhat unfavorable,Very unfavorable,Very unfavorable,Very unfavorable
118401,Lebanon, ,Dissatisfied, , ,Somewhat bad,Worsen a little,Somewhat bad,Remain the same,Worse off,Somewhat favorable,Somewhat favorable,Very favorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable, ,Very unfavorable,Very unfavorable,Very unfavorable,Very unfavorable
118402,Lebanon, ,Dissatisfied, , ,Somewhat bad,Worsen a little,Somewhat bad,Worsen a little,Same (Volunteered),Somewhat favorable,Very favorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable, ,Very unfavorable,Somewhat unfavorable,Very unfavorable,Very unfavorable
118403,Lebanon, ,Dissatisfied, , ,Very bad,Worsen a little,Somewhat bad,Worsen a little,Worse off,Somewhat favorable,Very favorable,Somewhat unfavorable,Very unfavorable,Very unfavorable,Somewhat favorable,Very favorable, ,Somewhat unfavorable,Somewhat unfavorable,Very unfavorable,Very unfavorable
118404,Lebanon, ,Dissatisfied, , ,Somewhat bad,Worsen a little,Very bad,Remain the same,Worse off,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Very favorable,Somewhat favorable,Very unfavorable,Very unfavorable, ,Very unfavorable,Somewhat favorable,Very favorable,Very unfavorable
118405,Lebanon, ,Dissatisfied, , ,Somewhat bad,Worsen a little,Very bad,Worsen a little,Worse off,Very unfavorable,Very favorable,Very favorable,Very favorable,Very favorable,Somewhat unfavorable,Very unfavorable, ,Very unfavorable,Somewhat favorable,Very favorable,Very unfavorable
118406,Lebanon, ,Dissatisfied, , ,Very bad,Remain the same,Somewhat bad,Improve a little,Better off,Very favorable,Very favorable,Very favorable,Very unfavorable,Somewhat unfavorable,Very favorable,Somewhat favorable, ,Somewhat favorable,Very unfavorable,Very unfavorable,Very unfavorable
118407,Lebanon, ,Dissatisfied, , ,Very bad,Improve a little,Somewhat bad,Improve a little,Better off,Somewhat favorable,Very favorable,Very favorable,Very unfavorable,Very unfavorable,Very favorable,Very favorable, ,Somewhat unfavorable,Very unfavorable,Very unfavorable,Very unfavorable
118408,Lebanon, ,Dissatisfied, , ,Somewhat bad,Worsen a little,Somewhat bad,Worsen a little,Worse off,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Very unfavorable, ,Very unfavorable,Very unfavorable,Very unfavorable,Very unfavorable
118409,Lebanon, ,Dissatisfied, , ,Very bad,Remain the same,Somewhat bad,Remain the same,Same (Volunteered),Very favorable,Very favorable,Very favorable,Very unfavorable,Very unfavorable,Somewhat favorable,Somewhat favorable, ,Somewhat unfavorable,Very unfavorable,Very unfavorable,Very unfavorable
118410,Lebanon, ,Dissatisfied, , ,Somewhat bad,Worsen a little,Somewhat good,Remain the same,Worse off,Very unfavorable,Very favorable,Very favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable, ,Very unfavorable,Somewhat favorable,Somewhat unfavorable,Very unfavorable
118411,Lebanon, ,Dissatisfied, , ,Somewhat good,Remain the same,Somewhat good,Remain the same,Don't know,Very favorable,Very favorable,Very unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable, ,Somewhat unfavorable,Very unfavorable,Very unfavorable,Very unfavorable
118412,Lebanon, ,Dissatisfied, , ,Very bad,Remain the same,Somewhat good,Remain the same,Same (Volunteered),Very unfavorable,Somewhat favorable,Very favorable,Very favorable,Very favorable,Very unfavorable,Somewhat unfavorable, ,Very unfavorable,Very favorable,Very favorable,Very unfavorable
118413,Lebanon, ,Dissatisfied, , ,Very bad,Remain the same,Somewhat bad,Remain the same,Same (Volunteered),Very unfavorable,Very unfavorable,Very favorable,Somewhat favorable,Somewhat favorable,Very unfavorable,Very unfavorable, ,Very unfavorable,Somewhat favorable,Very favorable,Very unfavorable
118414,Lebanon, ,Dissatisfied, , ,Very bad,Worsen a lot,Very bad,Worsen a little,Worse off,Very unfavorable,Very favorable,Somewhat favorable,Very favorable,Very favorable,Very unfavorable,Somewhat unfavorable, ,Very unfavorable,Somewhat unfavorable,Very favorable,Very unfavorable
118415,Lebanon, ,Dissatisfied, , ,Very bad,Worsen a little,Somewhat bad,Worsen a little,Worse off,Very unfavorable,Very favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Very unfavorable,Very unfavorable, ,Very unfavorable,Very unfavorable,Very favorable,Very unfavorable
118416,Lebanon, ,Dissatisfied, , ,Very bad,Worsen a lot,Very bad,Worsen a lot,Worse off,Somewhat favorable,Somewhat favorable,Very favorable,Very unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable, ,Very unfavorable,Very unfavorable,Very unfavorable,Very unfavorable
118417,Lebanon, ,Dissatisfied, , ,Very bad,Worsen a lot,Somewhat bad,Worsen a little,Worse off,Somewhat favorable,Somewhat favorable,Very favorable,Very unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable, ,Very unfavorable,Very unfavorable,Very unfavorable,Very unfavorable
118418,Lebanon, ,Dissatisfied, , ,Very bad,Worsen a little,Somewhat good,Remain the same,Same (Volunteered),Somewhat favorable,Somewhat favorable,Very favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable, ,Somewhat unfavorable,Very unfavorable,Somewhat favorable,Very unfavorable
118419,Lebanon, ,Dissatisfied, , ,Very bad,Worsen a little,Somewhat bad,Worsen a little,Don't know,Somewhat favorable,Very favorable,Very favorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable, ,Somewhat unfavorable,Very unfavorable,Very unfavorable,Very unfavorable
118420,Lebanon, ,Dissatisfied, , ,Very bad,Worsen a little,Somewhat good,Worsen a little,Same (Volunteered),Very favorable,Somewhat favorable,Very favorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable, ,Very unfavorable,Very unfavorable,Very unfavorable,Very unfavorable
118421,Lebanon, ,Dissatisfied, , ,Somewhat bad,Improve a little,Somewhat good,Improve a little,Better off,Very unfavorable,Somewhat favorable,Somewhat favorable,Very favorable,Very favorable,Somewhat unfavorable,Somewhat unfavorable, ,Very unfavorable,Somewhat favorable,Very favorable,Very unfavorable
118422,Lebanon, ,Dissatisfied, , ,Somewhat bad,Improve a little,Somewhat good,Improve a little,Better off,Very unfavorable,Somewhat unfavorable,Very favorable,Very favorable,Very favorable,Very unfavorable,Somewhat favorable, ,Very unfavorable,Somewhat unfavorable,Very favorable,Very unfavorable
118423,Lebanon, ,Dissatisfied, , ,Very bad,Worsen a lot,Somewhat bad,Worsen a little,Worse off,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Very favorable,Somewhat favorable,Very unfavorable,Very unfavorable, ,Very unfavorable,Very favorable,Very favorable,Very unfavorable
118424,Lebanon, ,Dissatisfied, , ,Very bad,Worsen a little,Very bad,Worsen a lot,Worse off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Very unfavorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable, ,Very unfavorable,Very favorable,Very unfavorable,Somewhat unfavorable
118425,Lebanon, ,Dissatisfied, , ,Very bad,Remain the same,Somewhat bad,Worsen a lot,Worse off,Very unfavorable,Somewhat favorable,Very favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable, ,Very unfavorable,Very unfavorable,Very unfavorable,Very unfavorable
118426,Lebanon, ,Dissatisfied, , ,Very bad,Remain the same,Somewhat bad,Remain the same,Worse off,Very unfavorable,Very unfavorable,Very favorable,Very favorable,Very favorable,Very unfavorable,Somewhat favorable, ,Very unfavorable,Somewhat unfavorable,Very favorable,Very unfavorable
118427,Lebanon, ,Dissatisfied, , ,Very bad,Improve a little,Very bad,Remain the same,Worse off,Very unfavorable,Very unfavorable,Very favorable,Very favorable,Very favorable,Very unfavorable,Somewhat unfavorable, ,Very unfavorable,Somewhat unfavorable,Very favorable,Very unfavorable
118428,Lebanon, ,Dissatisfied, , ,Very bad,Worsen a little,Somewhat bad,Worsen a little,Worse off,Very unfavorable,Very unfavorable,Very favorable,Very unfavorable,Somewhat unfavorable,Very unfavorable,Very unfavorable, ,Very unfavorable,Somewhat favorable,Very unfavorable,Very unfavorable
118429,Lebanon, ,Dissatisfied, , ,Very bad,Worsen a little,Somewhat bad,Worsen a lot,Worse off,Very unfavorable,Very unfavorable,Somewhat favorable,Very favorable,Very favorable,Somewhat unfavorable,Somewhat favorable, ,Very unfavorable,Somewhat favorable,Very favorable,Very unfavorable
118430,Lebanon, ,Dissatisfied, , ,Somewhat bad,Worsen a little,Very bad,Worsen a little,Worse off,Very unfavorable,Very favorable,Very favorable,Very favorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable, ,Very unfavorable,Somewhat favorable,Very favorable,Very unfavorable
118431,Lebanon, ,Dissatisfied, , ,Very bad,Remain the same,Somewhat bad,Worsen a little,Worse off,Somewhat unfavorable,Somewhat unfavorable,Very favorable,Very favorable,Very favorable,Very unfavorable,Very unfavorable, ,Very unfavorable,Very favorable,Very favorable,Very unfavorable
118432,Lebanon, ,Dissatisfied, , ,Very bad,Remain the same,Somewhat bad,Remain the same,Same (Volunteered),Very unfavorable,Somewhat unfavorable,Very favorable,Very favorable,Very favorable,Very unfavorable,Somewhat favorable, ,Very unfavorable,Somewhat unfavorable,Very favorable,Very unfavorable
118433,Lebanon, ,Dissatisfied, , ,Very bad,Worsen a little,Somewhat bad,Remain the same,Worse off,Very unfavorable,Very favorable,Somewhat favorable,Very favorable,Somewhat favorable,Very unfavorable,Somewhat unfavorable, ,Very unfavorable,Very unfavorable,Very favorable,Very unfavorable
118434,Lebanon, ,Dissatisfied, , ,Very bad,Worsen a lot,Very bad,Worsen a little,Worse off,Very unfavorable,Very favorable,Very favorable,Very favorable,Very favorable,Very unfavorable,Very unfavorable, ,Very unfavorable,Somewhat unfavorable,Very favorable,Very unfavorable
118435,Lebanon, ,Dissatisfied, , ,Very bad,Remain the same,Somewhat bad,Remain the same,Same (Volunteered),Somewhat unfavorable,Very unfavorable,Very favorable,Somewhat favorable,Somewhat favorable,Very unfavorable,Somewhat unfavorable, ,Very unfavorable,Somewhat favorable,Very favorable,Very unfavorable
118436,Lebanon, ,Dissatisfied, , ,Very bad,Worsen a lot,Very bad,Worsen a lot,Worse off,Very favorable,Very favorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable,Don't know,Very favorable, ,Somewhat favorable,Somewhat unfavorable,Very unfavorable,Very favorable
118437,Lebanon, ,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat bad,Worsen a lot,Worse off,Somewhat favorable,Very favorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable, ,Somewhat favorable,Somewhat unfavorable,Very unfavorable,Very unfavorable
118438,Lebanon, ,Dissatisfied, , ,Somewhat good,Remain the same,Somewhat good,Remain the same,Same (Volunteered),Very favorable,Very favorable,Very unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Very favorable, ,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Very unfavorable
118439,Lebanon, ,Dissatisfied, , ,Very bad,Worsen a little,Very bad,Worsen a little,Worse off,Somewhat unfavorable,Very unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Very unfavorable,Somewhat unfavorable, ,Very unfavorable,Somewhat favorable,Very favorable,Very unfavorable
118440,Lebanon, ,Dissatisfied, , ,Very bad,Remain the same,Somewhat bad,Worsen a lot,Worse off,Very unfavorable,Very unfavorable,Somewhat favorable,Very favorable,Very favorable,Somewhat unfavorable,Somewhat favorable, ,Very unfavorable,Somewhat favorable,Very favorable,Very unfavorable
118441,Lebanon, ,Dissatisfied, , ,Very bad,Remain the same,Very bad,Remain the same,Better off,Very unfavorable,Very unfavorable,Very favorable,Very favorable,Very favorable,Somewhat favorable,Somewhat favorable, ,Very unfavorable,Somewhat unfavorable,Very favorable,Very unfavorable
118442,Lebanon, ,Dissatisfied, , ,Very bad,Worsen a little,Somewhat bad,Worsen a lot,Worse off,Very unfavorable,Very unfavorable,Very favorable,Very favorable,Very favorable,Somewhat unfavorable,Somewhat favorable, ,Very unfavorable,Somewhat unfavorable,Very favorable,Very unfavorable
118443,Lebanon, ,Dissatisfied, , ,Somewhat bad,Worsen a little,Somewhat bad,Remain the same,Worse off,Somewhat unfavorable,Very unfavorable,Somewhat favorable,Very favorable,Very favorable,Very unfavorable,Very unfavorable, ,Very unfavorable,Somewhat unfavorable,Very favorable,Very unfavorable
118444,Lebanon, ,Dissatisfied, , ,Very bad,Worsen a little,Somewhat bad,Worsen a little,Worse off,Very unfavorable,Very unfavorable,Very favorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable, ,Very unfavorable,Somewhat unfavorable,Very favorable,Very unfavorable
118445,Lebanon, ,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat bad,Worsen a little,Same (Volunteered),Very unfavorable,Very unfavorable,Somewhat favorable,Very favorable,Very favorable,Very unfavorable,Somewhat favorable, ,Very unfavorable,Very favorable,Very favorable,Very unfavorable
118446,Lebanon, ,Dissatisfied, , ,Somewhat bad,Worsen a little,Somewhat good,Remain the same,Better off,Very unfavorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Very favorable,Very unfavorable,Somewhat favorable, ,Very unfavorable,Very unfavorable,Very favorable,Very unfavorable
118447,Lebanon, ,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat bad,Remain the same,Worse off,Very favorable,Very favorable,Very unfavorable,Very unfavorable,Very unfavorable,Very favorable,Very favorable, ,Very unfavorable,Very unfavorable,Very unfavorable,Very unfavorable
118448,Lebanon, ,Dissatisfied, , ,Very bad,Worsen a lot,Very bad,Worsen a lot,Worse off,Very unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable, ,Very unfavorable,Very unfavorable,Somewhat favorable,Very unfavorable
118449,Lebanon, ,Dissatisfied, , ,Very bad,Worsen a little,Very bad,Remain the same,Better off,Very unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable, ,Very unfavorable,Very unfavorable,Very favorable,Very unfavorable
118450,Lebanon, ,Dissatisfied, , ,Very bad,Remain the same,Somewhat bad,Improve a little,Better off,Very favorable,Very favorable,Very favorable,Very unfavorable,Somewhat unfavorable,Very favorable,Somewhat favorable, ,Somewhat favorable,Very unfavorable,Very unfavorable,Very unfavorable
118451,Lebanon, ,Dissatisfied, , ,Very bad,Remain the same,Somewhat bad,Remain the same,Same (Volunteered),Somewhat favorable,Very favorable,Somewhat favorable,Very unfavorable,Very unfavorable,Somewhat favorable,Somewhat favorable, ,Somewhat unfavorable,Very unfavorable,Very unfavorable,Very unfavorable
118452,Lebanon, ,Dissatisfied, , ,Somewhat bad,Worsen a little,Somewhat bad,Worsen a little,Worse off,Somewhat favorable,Somewhat favorable,Very favorable,Somewhat unfavorable,Somewhat unfavorable,Very unfavorable,Very unfavorable, ,Somewhat unfavorable,Very unfavorable,Very unfavorable,Very unfavorable
118453,Lebanon, ,Dissatisfied, , ,Very bad,Worsen a little,Somewhat bad,Remain the same,Worse off,Very favorable,Somewhat favorable,Somewhat favorable,Very unfavorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable, ,Very unfavorable,Very favorable,Very unfavorable,Very unfavorable
118454,Lebanon, ,Dissatisfied, , ,Very bad,Worsen a lot,Very bad,Remain the same,Worse off,Very unfavorable,Somewhat unfavorable,Very favorable,Very favorable,Very favorable,Very unfavorable,Somewhat unfavorable, ,Very unfavorable,Very favorable,Very favorable,Very unfavorable
118455,Lebanon, ,Dissatisfied, , ,Somewhat bad,Worsen a little,Somewhat bad,Worsen a little,Worse off,Very unfavorable,Very favorable,Somewhat favorable,Very favorable,Somewhat favorable,Very unfavorable,Very unfavorable, ,Very unfavorable,Very favorable,Very favorable,Very unfavorable
118456,Lebanon, ,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat good,Remain the same,Worse off,Very favorable,Somewhat favorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable, ,Very unfavorable,Somewhat unfavorable,Somewhat unfavorable,Very unfavorable
118457,Lebanon, ,Dissatisfied, , ,Very bad,Remain the same,Somewhat bad,Worsen a lot,Same (Volunteered),Somewhat favorable,Very favorable,Very favorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Very favorable, ,Very unfavorable,Somewhat unfavorable,Somewhat unfavorable,Very unfavorable
118458,Lebanon, ,Dissatisfied, , ,Very bad,Remain the same,Somewhat bad,Remain the same,Better off,Very favorable,Somewhat favorable,Very favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable, ,Somewhat unfavorable,Somewhat unfavorable,Very unfavorable,Very unfavorable
118459,Lebanon, ,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat bad,Remain the same,Better off,Somewhat unfavorable,Very unfavorable,Very favorable,Somewhat unfavorable,Very favorable,Very favorable,Somewhat favorable, ,Very unfavorable,Very unfavorable,Very favorable,Very unfavorable
118460,Lebanon, ,Dissatisfied, , ,Very bad,Remain the same,Somewhat good,Worsen a little,Same (Volunteered),Very favorable,Somewhat favorable,Very unfavorable,Very unfavorable,Very unfavorable,Somewhat favorable,Somewhat favorable, ,Very unfavorable,Very unfavorable,Very unfavorable,Very unfavorable
118461,Lebanon, ,Dissatisfied, , ,Very bad,Worsen a little,Very bad,Remain the same,Worse off,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Very favorable,Somewhat favorable,Somewhat unfavorable,Very unfavorable, ,Very unfavorable,Somewhat favorable,Very favorable,Very unfavorable
118462,Lebanon, ,Dissatisfied, , ,Very bad,Worsen a little,Somewhat bad,Remain the same,Worse off,Very unfavorable,Very unfavorable,Somewhat favorable,Very favorable,Somewhat favorable,Very unfavorable,Somewhat unfavorable, ,Very unfavorable,Somewhat favorable,Very favorable,Very unfavorable
118463,Lebanon, ,Dissatisfied, , ,Very bad,Worsen a little,Somewhat bad,Worsen a little,Worse off,Very unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable, ,Very unfavorable,Somewhat favorable,Very favorable,Very unfavorable
118464,Lebanon, ,Dissatisfied, , ,Very bad,Remain the same,Somewhat bad,Worsen a little,Worse off,Very unfavorable,Very favorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Very unfavorable,Somewhat favorable, ,Very unfavorable,Somewhat favorable,Somewhat unfavorable,Very unfavorable
118465,Lebanon, ,Dissatisfied, , ,Somewhat bad,Worsen a little,Somewhat bad,Worsen a little,Worse off,Somewhat unfavorable,Very favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Very unfavorable,Very unfavorable, ,Very unfavorable,Very favorable,Somewhat unfavorable,Very unfavorable
118466,Lebanon, ,Dissatisfied, , ,Very bad,Worsen a little,Somewhat bad,Worsen a little,Worse off,Very unfavorable,Somewhat favorable,Somewhat favorable,Very favorable,Very favorable,Somewhat unfavorable,Somewhat favorable, ,Very unfavorable,Somewhat favorable,Very favorable,Very unfavorable
118467,Lebanon, ,Dissatisfied, , ,Very bad,Remain the same,Somewhat bad,Worsen a little,Worse off,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable, ,Very unfavorable,Very unfavorable,Very unfavorable,Very unfavorable
