PSRAID,COUNTRY,PHONETYPE,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9A,Q9B,Q9C,Q9D,Q9E,Q9F,Q9G
101715,South Korea, ,Satisfied, , ,Somewhat bad,Improve a little,Somewhat bad,Improve a little,Better off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
101716,South Korea, ,Dissatisfied, , ,Very bad,Remain the same,Somewhat bad,Remain the same,Worse off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable
101717,South Korea, ,Satisfied, , ,Very bad,Improve a little,Very bad,Improve a little,Worse off,Somewhat unfavorable,Somewhat unfavorable,Very unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable
101718,South Korea, ,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat bad,Worsen a little,Better off,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Very unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
101719,South Korea, ,Dissatisfied, , ,Somewhat bad,Improve a little,Somewhat bad,Remain the same,Better off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
101720,South Korea, ,Satisfied, , ,Don't know,Don't know,Somewhat bad,Remain the same,Better off,Somewhat favorable,Very favorable,Somewhat favorable,Don't know,Somewhat favorable,Somewhat favorable,Somewhat favorable
101721,South Korea, ,Dissatisfied, , ,Very bad,Remain the same,Somewhat good,Remain the same,Worse off,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
101722,South Korea, ,Dissatisfied, , ,Somewhat bad,Improve a little,Somewhat bad,Improve a little,Better off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
101723,South Korea, ,Dissatisfied, , ,Very bad,Improve a little,Somewhat bad,Remain the same,Worse off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable
101724,South Korea, ,Satisfied, , ,Somewhat good,Improve a little,Somewhat good,Remain the same,Worse off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
101725,South Korea, ,Dissatisfied, , ,Very bad,Remain the same,Somewhat bad,Remain the same,Worse off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Don't know,Somewhat favorable
101726,South Korea, ,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat bad,Worsen a little,Better off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable
101727,South Korea, ,Dissatisfied, , ,Somewhat bad,Worsen a little,Very bad,Worsen a little,Worse off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Don't know,Somewhat favorable,Very favorable,Don't know
101728,South Korea, ,Dissatisfied, , ,Somewhat bad,Worsen a little,Very bad,Remain the same,Better off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Very unfavorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable
101729,South Korea, ,Satisfied, , ,Somewhat good,Remain the same,Somewhat good,Remain the same,Worse off,Very favorable,Very favorable,Very favorable,Very favorable,Very favorable,Very favorable,Very favorable
101730,South Korea, ,Satisfied, , ,Somewhat bad,Remain the same,Somewhat good,Improve a little,Same (Volunteered),Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable
101731,South Korea, ,Dissatisfied, , ,Very bad,Remain the same,Somewhat bad,Improve a little,Same (Volunteered),Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable
101732,South Korea, ,Dissatisfied, , ,Somewhat bad,Improve a little,Somewhat bad,Improve a little,Better off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Don't know,Somewhat unfavorable,Somewhat favorable,Somewhat favorable
101733,South Korea, ,Dissatisfied, , ,Somewhat bad,Improve a little,Very bad,Remain the same,Better off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Don't know,Don't know,Don't know,Don't know
101734,South Korea, ,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat bad,Remain the same,Worse off,Very favorable,Don't know,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Very favorable
101735,South Korea, ,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat bad,Remain the same,Worse off,Somewhat favorable,Somewhat favorable,Very favorable,Somewhat unfavorable,Very unfavorable,Somewhat favorable,Somewhat favorable
101736,South Korea, ,Satisfied, , ,Somewhat bad,Improve a little,Somewhat bad,Improve a little,Better off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Don't know,Don't know,Very favorable,Don't know
101737,South Korea, ,Dissatisfied, , ,Somewhat bad,Remain the same,Very bad,Remain the same,Better off,Somewhat unfavorable,Don't know,Somewhat unfavorable,Don't know,Somewhat unfavorable,Refused,Don't know
101738,South Korea, ,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat good,Worsen a little,Worse off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable
101739,South Korea, ,Satisfied, , ,Somewhat good,Improve a little,Somewhat good,Improve a little,Better off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Very favorable
101740,South Korea, ,Satisfied, , ,Somewhat bad,Improve a little,Somewhat bad,Improve a little,Better off,Somewhat favorable,Somewhat favorable,Don't know,Somewhat favorable,Don't know,Somewhat favorable,Somewhat unfavorable
101741,South Korea, ,Satisfied, , ,Somewhat bad,Remain the same,Somewhat bad,Remain the same,Worse off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Very unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
101742,South Korea, ,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat bad,Remain the same,Better off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable
101743,South Korea, ,Don't know, , ,Somewhat bad,Improve a little,Somewhat bad,Improve a little,Better off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Very favorable
101744,South Korea, ,Satisfied, , ,Somewhat bad,Improve a little,Somewhat good,Improve a little,Better off,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
101745,South Korea, ,Dissatisfied, , ,Very bad,Remain the same,Somewhat bad,Worsen a lot,Better off,Somewhat unfavorable,Somewhat favorable,Somewhat unfavorable,Very unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
101746,South Korea, ,Dissatisfied, , ,Somewhat bad,Improve a little,Somewhat good,Improve a little,Worse off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat unfavorable
101747,South Korea, ,Satisfied, , ,Somewhat good,Improve a little,Somewhat good,Improve a little,Better off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable
101748,South Korea, ,Dissatisfied, , ,Somewhat bad,Improve a little,Somewhat bad,Remain the same,Worse off,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Don't know,Somewhat favorable,Somewhat favorable,Somewhat favorable
101749,South Korea, ,Dissatisfied, , ,Very bad,Remain the same,Somewhat bad,Remain the same,Better off,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
101750,South Korea, ,Satisfied, , ,Very bad,Worsen a little,Very bad,Worsen a little,Worse off,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Very favorable,Somewhat unfavorable,Very favorable
101751,South Korea, ,Dissatisfied, , ,Somewhat good,Improve a little,Somewhat good,Remain the same,Better off,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Very unfavorable,Somewhat favorable,Somewhat favorable,Very favorable
101752,South Korea, ,Dissatisfied, , ,Somewhat bad,Improve a little,Somewhat bad,Worsen a little,Worse off,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable
101753,South Korea, ,Satisfied, , ,Very bad,Improve a little,Somewhat bad,Improve a little,Better off,Somewhat favorable,Don't know,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Don't know,Somewhat favorable
101754,South Korea, ,Satisfied, , ,Somewhat bad,Remain the same,Somewhat good,Remain the same,Better off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable
101755,South Korea, ,Satisfied, , ,Somewhat good,Remain the same,Somewhat good,Improve a little,Worse off,Somewhat favorable,Somewhat favorable,Very favorable,Very unfavorable,Somewhat favorable,Somewhat favorable,Very favorable
101756,South Korea, ,Dissatisfied, , ,Very bad,Improve a little,Very bad,Improve a little,Better off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Refused,Somewhat unfavorable
101757,South Korea, ,Dissatisfied, , ,Somewhat bad,Worsen a little,Very bad,Improve a little,Better off,Somewhat favorable,Very favorable,Very favorable,Somewhat unfavorable,Somewhat unfavorable,Very favorable,Very favorable
101758,South Korea, ,Dissatisfied, , ,Very bad,Worsen a lot,Somewhat bad,Worsen a lot,Worse off,Very favorable,Very favorable,Very unfavorable,Very unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
101759,South Korea, ,Dissatisfied, , ,Somewhat bad,Worsen a little,Somewhat bad,Remain the same,Worse off,Somewhat favorable,Somewhat favorable,Don't know,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
101760,South Korea, ,Dissatisfied, , ,Somewhat good,Worsen a little,Somewhat bad,Improve a little,Worse off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Don't know,Somewhat favorable,Somewhat favorable,Somewhat favorable
101761,South Korea, ,Dissatisfied, , ,Very bad,Worsen a little,Somewhat good,Remain the same,Worse off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable
101762,South Korea, ,Dissatisfied, , ,Somewhat bad,Improve a little,Somewhat bad,Improve a little,Better off,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Very unfavorable,Somewhat favorable,Somewhat favorable,Very favorable
101763,South Korea, ,Don't know, , ,Somewhat bad,Improve a little,Somewhat good,Improve a little,Better off,Somewhat favorable,Somewhat favorable,Don't know,Don't know,Don't know,Don't know,Don't know
101764,South Korea, ,Satisfied, , ,Very bad,Improve a little,Refused,Remain the same,Same (Volunteered),Somewhat favorable,Somewhat unfavorable,Very unfavorable,Very unfavorable,Somewhat favorable,Somewhat favorable,Very favorable
101765,South Korea, ,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat good,Remain the same,Worse off,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable
101766,South Korea, ,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat good,Improve a little,Better off,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable
101767,South Korea, ,Dissatisfied, , ,Very bad,Worsen a little,Somewhat bad,Improve a little,Worse off,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
101768,South Korea, ,Satisfied, , ,Somewhat good,Remain the same,Somewhat good,Improve a little,Better off,Somewhat unfavorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable
101769,South Korea, ,Dissatisfied, , ,Somewhat bad,Improve a little,Don't know,Remain the same,Worse off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable
101770,South Korea, ,Dissatisfied, , ,Somewhat bad,Don't know,Somewhat bad,Remain the same,Worse off,Somewhat unfavorable,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know
101771,South Korea, ,Dissatisfied, , ,Somewhat bad,Improve a little,Somewhat good,Remain the same,Better off,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know
101772,South Korea, ,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat bad,Improve a little,Better off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable
101773,South Korea, ,Dissatisfied, , ,Very bad,Remain the same,Somewhat bad,Remain the same,Better off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
101774,South Korea, ,Satisfied, , ,Somewhat bad,Improve a lot,Somewhat good,Improve a little,Better off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Don't know,Don't know,Don't know,Don't know
101775,South Korea, ,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat bad,Improve a little,Better off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
101776,South Korea, ,Satisfied, , ,Very bad,Remain the same,Somewhat good,Remain the same,Better off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Very favorable,Very favorable
101777,South Korea, ,Dissatisfied, , ,Somewhat good,Remain the same,Somewhat good,Improve a little,Better off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable
101778,South Korea, ,Dissatisfied, , ,Somewhat bad,Worsen a little,Somewhat good,Improve a little,Better off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
101779,South Korea, ,Dissatisfied, , ,Somewhat bad,Improve a little,Somewhat good,Remain the same,Better off,Somewhat favorable,Don't know,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Don't know,Somewhat favorable
101780,South Korea, ,Dissatisfied, , ,Somewhat bad,Improve a little,Somewhat good,Improve a little,Better off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Very favorable,Somewhat favorable
101781,South Korea, ,Dissatisfied, , ,Very bad,Worsen a little,Somewhat bad,Worsen a little,Worse off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Don't know,Somewhat favorable,Somewhat favorable,Somewhat favorable
101782,South Korea, ,Satisfied, , ,Somewhat bad,Remain the same,Somewhat bad,Remain the same,Better off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
101783,South Korea, ,Dissatisfied, , ,Somewhat bad,Improve a little,Somewhat bad,Remain the same,Better off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Don't know,Don't know,Somewhat favorable
101784,South Korea, ,Don't know, , ,Somewhat bad,Improve a little,Somewhat bad,Improve a little,Better off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Don't know,Somewhat favorable,Don't know,Somewhat favorable
101785,South Korea, ,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat good,Remain the same,Better off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
101786,South Korea, ,Satisfied, , ,Somewhat bad,Remain the same,Somewhat bad,Remain the same,Better off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Very favorable,Somewhat favorable,Somewhat favorable,Very favorable
101787,South Korea, ,Dissatisfied, , ,Somewhat good,Worsen a little,Somewhat bad,Remain the same,Worse off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
101788,South Korea, ,Dissatisfied, , ,Very bad,Remain the same,Somewhat bad,Remain the same,Worse off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
101789,South Korea, ,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat good,Improve a little,Worse off,Somewhat unfavorable,Somewhat favorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat unfavorable
101790,South Korea, ,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat good,Remain the same,Better off,Somewhat unfavorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable
101791,South Korea, ,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat bad,Improve a little,Worse off,Somewhat unfavorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable
101792,South Korea, ,Satisfied, , ,Somewhat bad,Improve a little,Somewhat bad,Improve a little,Worse off,Somewhat favorable,Don't know,Very favorable,Somewhat favorable,Don't know,Somewhat favorable,Somewhat favorable
101793,South Korea, ,Satisfied, , ,Somewhat bad,Improve a lot,Somewhat good,Improve a little,Better off,Very favorable,Very favorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Very favorable,Very favorable
101794,South Korea, ,Satisfied, , ,Somewhat good,Improve a little,Somewhat good,Worsen a little,Better off,Somewhat unfavorable,Don't know,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Don't know
101795,South Korea, ,Satisfied, , ,Somewhat good,Improve a little,Don't know,Remain the same,Better off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable
101796,South Korea, ,Satisfied, , ,Somewhat bad,Remain the same,Somewhat good,Remain the same,Better off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
101797,South Korea, ,Satisfied, , ,Somewhat good,Improve a little,Somewhat good,Improve a little,Worse off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
101798,South Korea, ,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat bad,Improve a little,Worse off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Very favorable,Somewhat favorable
101799,South Korea, ,Satisfied, , ,Somewhat bad,Improve a little,Somewhat bad,Improve a little,Better off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
101800,South Korea, ,Satisfied, , ,Somewhat good,Improve a little,Somewhat good,Improve a little,Worse off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable
101801,South Korea, ,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat good,Remain the same,Better off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable
101802,South Korea, ,Dissatisfied, , ,Somewhat bad,Improve a little,Somewhat good,Remain the same,Better off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable
101803,South Korea, ,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat good,Remain the same,Worse off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
101804,South Korea, ,Satisfied, , ,Somewhat good,Improve a little,Somewhat bad,Improve a little,Better off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Don't know,Somewhat unfavorable,Don't know,Somewhat favorable
101805,South Korea, ,Dissatisfied, , ,Somewhat good,Remain the same,Somewhat good,Remain the same,Better off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Very unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable
101806,South Korea, ,Don't know, , ,Somewhat bad,Improve a little,Somewhat good,Improve a little,Better off,Very favorable,Very favorable,Very favorable,Somewhat unfavorable,Somewhat unfavorable,Very favorable,Very favorable
101807,South Korea, ,Satisfied, , ,Somewhat good,Improve a little,Somewhat good,Remain the same,Better off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Don't know,Don't know,Somewhat favorable,Somewhat favorable
101808,South Korea, ,Satisfied, , ,Somewhat good,Improve a little,Somewhat good,Remain the same,Better off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Very favorable
101809,South Korea, ,Dissatisfied, , ,Somewhat bad,Worsen a little,Somewhat good,Improve a little,Worse off,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Don't know,Somewhat favorable,Somewhat favorable,Somewhat favorable
101810,South Korea, ,Dissatisfied, , ,Somewhat bad,Improve a little,Somewhat good,Improve a little,Worse off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Don't know,Don't know,Somewhat favorable
101811,South Korea, ,Satisfied, , ,Very good,Improve a lot,Somewhat good,Improve a lot,Better off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
101812,South Korea, ,Dissatisfied, , ,Somewhat bad,Improve a little,Somewhat good,Remain the same,Worse off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable
101813,South Korea, ,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat bad,Remain the same,Better off,Somewhat favorable,Very favorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
101814,South Korea, ,Satisfied, , ,Somewhat good,Improve a little,Somewhat good,Remain the same,Worse off,Very favorable,Somewhat favorable,Don't know,Don't know,Don't know,Don't know,Don't know
101815,South Korea, ,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat bad,Improve a little,Better off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
101816,South Korea, ,Don't know, , ,Very bad,Improve a little,Somewhat good,Improve a little,Worse off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable
101817,South Korea, ,Dissatisfied, , ,Very bad,Worsen a little,Somewhat bad,Remain the same,Worse off,Somewhat unfavorable,Somewhat favorable,Somewhat unfavorable,Very unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
101818,South Korea, ,Dissatisfied, , ,Somewhat bad,Improve a little,Somewhat bad,Improve a little,Worse off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable
101819,South Korea, ,Dissatisfied, , ,Somewhat bad,Worsen a little,Somewhat good,Remain the same,Worse off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
101820,South Korea, ,Satisfied, , ,Somewhat good,Improve a little,Somewhat good,Remain the same,Better off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Very favorable,Somewhat unfavorable,Somewhat favorable
101821,South Korea, ,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat good,Improve a little,Worse off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable
101822,South Korea, ,Dissatisfied, , ,Somewhat bad,Improve a lot,Somewhat good,Improve a lot,Better off,Somewhat favorable,Very favorable,Very unfavorable,Somewhat unfavorable,Somewhat unfavorable,Very favorable,Very favorable
101823,South Korea, ,Dissatisfied, , ,Somewhat bad,Worsen a little,Somewhat bad,Worsen a little,Worse off,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Don't know,Don't know,Somewhat favorable,Don't know
