PSRAID,COUNTRY,PHONETYPE,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9A,Q9B,Q9C,Q9D,Q9E,Q9F,Q9G,Q9H,Q9I
100016,United States,landline,Dissatisfied, , ,Very bad,Remain the same,Somewhat good,Remain the same,Worse off,Very favorable,Very favorable,Somewhat unfavorable,Very unfavorable,Very unfavorable,Somewhat unfavorable,Very unfavorable,Somewhat favorable,Very favorable
100017,United States,landline,Dissatisfied, , ,Very bad,Worsen a lot,Somewhat bad,Worsen a lot,Worse off,Somewhat unfavorable,Very favorable,Somewhat favorable,Very unfavorable,Don't know,Don't know,Somewhat unfavorable,Don't know,Very unfavorable
100018,United States,landline,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat bad,Remain the same,Worse off,Somewhat unfavorable,Somewhat unfavorable,Very unfavorable,Very unfavorable,Refused,Refused,Somewhat unfavorable,Somewhat unfavorable,Refused
100019,United States,landline,Dissatisfied, , ,Very bad,Worsen a lot,Somewhat bad,Worsen a little,Worse off,Somewhat favorable,Very favorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Don't know,Somewhat favorable
100020,United States,landline,Dissatisfied, , ,Very good,Worsen a lot,Somewhat good,Worsen a little,Worse off,Very favorable,Very favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Very favorable
100021,United States,landline,Satisfied, , ,Somewhat good,Worsen a little,Somewhat good,Improve a lot,Better off,Somewhat unfavorable,Somewhat unfavorable,Very favorable,Somewhat favorable,Very favorable,Very favorable,Very favorable,Somewhat unfavorable,Somewhat unfavorable
100022,United States,landline,Dissatisfied, , ,Somewhat bad,Worsen a little,Somewhat bad,Remain the same,Worse off,Very favorable,Somewhat favorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
100023,United States,landline,Dissatisfied, , ,Somewhat good,Improve a lot,Somewhat good,Improve a little,Don't know,Somewhat favorable,Very favorable,Very favorable,Somewhat favorable,Somewhat unfavorable,Very favorable,Somewhat unfavorable,Somewhat favorable,Somewhat unfavorable
100024,United States,landline,Satisfied, , ,Somewhat bad,Improve a little,Very good,Remain the same,Worse off,Very favorable,Somewhat favorable,Somewhat favorable,Very unfavorable,Somewhat unfavorable,Very favorable,Very favorable,Somewhat favorable,Somewhat favorable
100025,United States,landline,Dissatisfied, , ,Very bad,Improve a little,Somewhat good,Remain the same,Worse off,Somewhat favorable,Very favorable,Very unfavorable,Very unfavorable,Very unfavorable,Don't know,Somewhat favorable,Somewhat unfavorable,Very favorable
100026,United States,landline,Dissatisfied, , ,Very bad,Improve a little,Somewhat good,Remain the same,Worse off,Very favorable,Very favorable,Very unfavorable,Very unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Don't know,Very favorable
100027,United States,landline,Dissatisfied, , ,Very bad,Worsen a lot,Somewhat good,Remain the same,Worse off,Very favorable,Very favorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Very unfavorable,Somewhat favorable
100028,United States,landline,Dissatisfied, , ,Somewhat bad,Refused,Very bad,Worsen a little,Worse off,Very favorable,Very favorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Very unfavorable,Somewhat favorable,Very favorable
100029,United States,landline,Satisfied, , ,Somewhat bad,Remain the same,Somewhat good,Worsen a little,Worse off,Very favorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Very unfavorable
100030,United States,landline,Dissatisfied, , ,Somewhat bad,Remain the same,Very good,Remain the same,Worse off,Somewhat favorable,Don't know,Very unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
100031,United States,landline,Dissatisfied, , ,Very bad,Worsen a little,Somewhat good,Improve a little,Better off,Very favorable,Very favorable,Somewhat favorable,Very unfavorable,Don't know,Somewhat favorable,Very favorable,Somewhat favorable,Don't know
100032,United States,landline,Dissatisfied, , ,Somewhat bad,Worsen a little,Somewhat bad,Remain the same,Worse off,Very favorable,Very favorable,Somewhat favorable,Somewhat unfavorable,Very unfavorable,Somewhat favorable,Somewhat unfavorable,Very favorable,Somewhat favorable
100033,United States,landline,Satisfied, , ,Somewhat good,Improve a little,Somewhat good,Improve a little,Better off,Very favorable,Somewhat favorable,Somewhat favorable,Very unfavorable,Somewhat unfavorable,Very favorable,Very favorable,Very favorable,Somewhat favorable
100034,United States,landline,Dissatisfied, , ,Somewhat good,Improve a little,Somewhat good,Worsen a little,Worse off,Very favorable,Very favorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Very favorable,Very favorable,Somewhat favorable
100035,United States,landline,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat good,Remain the same,Worse off,Somewhat favorable,Somewhat unfavorable,Very unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
100036,United States,landline,Dissatisfied, , ,Somewhat good,Remain the same,Somewhat good,Remain the same,Better off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Don't know,Somewhat favorable
100037,United States,landline,Dissatisfied, , ,Somewhat good,Improve a little,Very good,Improve a little,Worse off,Very favorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Very favorable,Somewhat favorable,Somewhat favorable
100038,United States,landline,Dissatisfied, , ,Somewhat bad,Worsen a little,Somewhat bad,Worsen a little,Don't know,Very favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Very favorable
100039,United States,landline,Dissatisfied, , ,Somewhat bad,Worsen a little,Very bad,Worsen a little,Worse off,Very favorable,Very favorable,Very unfavorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat unfavorable,Very unfavorable,Refused
100040,United States,landline,Dissatisfied, , ,Very bad,Worsen a lot,Somewhat good,Worsen a lot,Worse off,Very favorable,Somewhat favorable,Very unfavorable,Very unfavorable,Very unfavorable,Very unfavorable,Very unfavorable,Very unfavorable,Very favorable
100041,United States,landline,Dissatisfied, , ,Somewhat good,Improve a little,Somewhat good,Remain the same,Worse off,Somewhat favorable,Very favorable,Somewhat unfavorable,Somewhat unfavorable,Don't know,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable
100042,United States,landline,Dissatisfied, , ,Very bad,Worsen a little,Very bad,Worsen a little,Worse off,Somewhat favorable,Very favorable,Somewhat favorable,Very unfavorable,Very unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Very favorable
100043,United States,landline,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat good,Remain the same,Don't know,Somewhat unfavorable,Somewhat unfavorable,Don't know,Don't know,Somewhat favorable,Somewhat favorable,Don't know,Don't know,Somewhat unfavorable
100044,United States,landline,Satisfied, , ,Somewhat good,Improve a little,Somewhat good,Remain the same,Same (Volunteered),Somewhat favorable,Somewhat favorable,Very unfavorable,Very unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable
100045,United States,landline,Dissatisfied, , ,Very bad,Improve a little,Somewhat good,Remain the same,Worse off,Very favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
100046,United States,landline,Dissatisfied, , ,Very bad,Worsen a lot,Somewhat bad,Remain the same,Worse off,Somewhat favorable,Somewhat favorable,Very unfavorable,Somewhat unfavorable,Very unfavorable,Don't know,Don't know,Don't know,Somewhat favorable
100047,United States,landline,Satisfied, , ,Somewhat good,Improve a lot,Very good,Improve a little,Better off,Very favorable,Very favorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
100048,United States,landline,Dissatisfied, , ,Very bad,Worsen a lot,Very good,Remain the same,Worse off,Very favorable,Very favorable,Very unfavorable,Don't know,Very unfavorable,Don't know,Somewhat unfavorable,Don't know,Don't know
100049,United States,landline,Dissatisfied, , ,Very bad,Improve a little,Don't know,Worsen a little,Worse off,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Very favorable
100050,United States,landline,Dissatisfied, , ,Very good,Remain the same,Somewhat good,Remain the same,Worse off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Very favorable
100051,United States,landline,Dissatisfied, , ,Somewhat bad,Improve a little,Somewhat bad,Worsen a little,Worse off,Very favorable,Very favorable,Very unfavorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Very favorable
100052,United States,landline,Satisfied, , ,Very bad,Worsen a little,Somewhat good,Remain the same,Worse off,Very favorable,Very favorable,Somewhat unfavorable,Very unfavorable,Very unfavorable,Somewhat favorable,Somewhat unfavorable,Very unfavorable,Somewhat favorable
100053,United States,landline,Dissatisfied, , ,Very bad,Worsen a lot,Very bad,Worsen a little,Better off,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable,Refused,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable
100054,United States,landline,Dissatisfied, , ,Very bad,Worsen a lot,Very bad,Remain the same,Worse off,Very unfavorable,Very favorable,Refused,Refused,Refused,Refused,Somewhat favorable,Refused,Refused
100055,United States,landline,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat good,Remain the same,Worse off,Very favorable,Very favorable,Don't know,Very unfavorable,Refused,Somewhat favorable,Don't know,Somewhat favorable,Very favorable
100056,United States,landline,Satisfied, , ,Somewhat bad,Remain the same,Somewhat good,Improve a little,Worse off,Very favorable,Very favorable,Very favorable,Don't know,Somewhat unfavorable,Somewhat favorable,Don't know,Somewhat favorable,Don't know
100057,United States,landline,Dissatisfied, , ,Somewhat good,Improve a little,Somewhat good,Remain the same,Worse off,Very favorable,Very favorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
100058,United States,landline,Dissatisfied, , ,Very bad,Improve a little,Somewhat good,Remain the same,Better off,Somewhat favorable,Somewhat favorable,Don't know,Don't know,Don't know,Don't know,Somewhat favorable,Don't know,Don't know
100059,United States,landline,Dissatisfied, , ,Very bad,Worsen a little,Very good,Remain the same,Worse off,Very favorable,Very favorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Very favorable,Somewhat favorable,Very favorable
100060,United States,landline,Satisfied, , ,Somewhat good,Remain the same,Somewhat good,Remain the same,Better off,Very favorable,Somewhat favorable,Somewhat unfavorable,Very unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Don't know,Very favorable
100061,United States,landline,Satisfied, , ,Somewhat good,Improve a little,Somewhat good,Remain the same,Worse off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable
100062,United States,landline,Dissatisfied, , ,Somewhat good,Remain the same,Very good,Improve a little,Worse off,Very favorable,Very favorable,Very unfavorable,Somewhat favorable,Very unfavorable,Very unfavorable,Very unfavorable,Very unfavorable,Somewhat favorable
100063,United States,landline,Dissatisfied, , ,Very bad,Refused,Very bad,Remain the same,Worse off,Somewhat favorable,Somewhat unfavorable,Very unfavorable,Don't know,Very unfavorable,Don't know,Very unfavorable,Somewhat unfavorable,Very favorable
100064,United States,landline,Dissatisfied, , ,Very bad,Worsen a lot,Somewhat good,Worsen a lot,Worse off,Somewhat favorable,Somewhat favorable,Very unfavorable,Very unfavorable,Very unfavorable,Somewhat unfavorable,Very unfavorable,Somewhat favorable,Somewhat favorable
100065,United States,landline,Dissatisfied, , ,Somewhat bad,Improve a little,Somewhat good,Remain the same,Worse off,Very favorable,Very favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable
100066,United States,landline,Dissatisfied, , ,Very bad,Remain the same,Somewhat good,Worsen a little,Worse off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable
100067,United States,landline,Satisfied, , ,Somewhat bad,Improve a little,Somewhat good,Improve a little,Worse off,Very favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
100068,United States,landline,Dissatisfied, , ,Somewhat bad,Improve a little,Somewhat bad,Remain the same,Better off,Very favorable,Very favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable
100069,United States,landline,Dissatisfied, , ,Somewhat good,Remain the same,Somewhat good,Improve a lot,Worse off,Very favorable,Somewhat unfavorable,Very unfavorable,Very unfavorable,Somewhat unfavorable,Very unfavorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable
100070,United States,landline,Dissatisfied, , ,Somewhat bad,Improve a little,Somewhat good,Remain the same,Worse off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
100071,United States,landline,Satisfied, , ,Somewhat good,Improve a lot,Somewhat good,Improve a lot,Better off,Very favorable,Very favorable,Don't know,Very unfavorable,Don't know,Don't know,Very favorable,Don't know,Very unfavorable
100072,United States,landline,Satisfied, , ,Somewhat bad,Improve a little,Somewhat good,Remain the same,Better off,Very favorable,Somewhat favorable,Somewhat favorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable
100073,United States,landline,Dissatisfied, , ,Somewhat bad,Worsen a lot,Somewhat bad,Worsen a little,Worse off,Very favorable,Very favorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Very favorable,Very favorable
100074,United States,landline,Dissatisfied, , ,Somewhat bad,Improve a little,Somewhat bad,Remain the same,Better off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable
100075,United States,landline,Dissatisfied, , ,Very bad,Worsen a little,Somewhat good,Worsen a little,Worse off,Very favorable,Very favorable,Very unfavorable,Don't know,Very favorable,Very unfavorable,Very unfavorable,Very unfavorable,Very favorable
100076,United States,landline,Dissatisfied, , ,Very bad,Worsen a little,Somewhat good,Remain the same,Worse off,Don't know,Very favorable,Somewhat favorable,Somewhat favorable,Very favorable,Somewhat favorable,Very unfavorable,Somewhat favorable,Somewhat favorable
100077,United States,landline,Dissatisfied, , ,Somewhat bad,Worsen a little,Very good,Remain the same,Worse off,Refused,Refused,Very unfavorable,Very unfavorable,Very unfavorable,Refused,Very favorable,Very favorable,Very unfavorable
100078,United States,landline,Dissatisfied, , ,Very bad,Improve a little,Somewhat bad,Worsen a lot,Worse off,Somewhat favorable,Somewhat favorable,Very unfavorable,Very unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Very favorable
100079,United States,landline,Dissatisfied, , ,Somewhat good,Improve a little,Somewhat good,Improve a little,Worse off,Very favorable,Somewhat favorable,Somewhat favorable,Very unfavorable,Somewhat unfavorable,Very favorable,Very favorable,Very favorable,Very favorable
100080,United States,landline,Dissatisfied, , ,Very bad,Worsen a lot,Somewhat bad,Worsen a lot,Better off,Very favorable,Very favorable,Very unfavorable,Very unfavorable,Very unfavorable,Very unfavorable,Very unfavorable,Very unfavorable,Somewhat favorable
100081,United States,landline,Dissatisfied, , ,Very bad,Worsen a little,Somewhat bad,Worsen a little,Better off,Very favorable,Very favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
100082,United States,landline,Dissatisfied, , ,Somewhat bad,Improve a little,Somewhat good,Remain the same,Don't know,Very favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable
100083,United States,landline,Satisfied, , ,Somewhat good,Improve a little,Very bad,Remain the same,Worse off,Very favorable,Very favorable,Very unfavorable,Very unfavorable,Very unfavorable,Somewhat favorable,Very favorable,Don't know,Very favorable
100084,United States,landline,Refused, , ,Somewhat bad,Don't know,Somewhat good,Remain the same,Worse off,Very favorable,Very favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Very favorable,Very favorable
100085,United States,landline,Dissatisfied, , ,Somewhat bad,Worsen a little,Somewhat bad,Remain the same,Worse off,Very unfavorable,Very favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable
100086,United States,landline,Dissatisfied, , ,Very bad,Worsen a little,Somewhat bad,Remain the same,Worse off,Refused,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable
100087,United States,landline,Dissatisfied, , ,Very bad,Worsen a lot,Very bad,Remain the same,Worse off,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Very unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Very favorable
100088,United States,landline,Dissatisfied, , ,Very bad,Worsen a little,Somewhat good,Remain the same,Worse off,Very favorable,Somewhat favorable,Very unfavorable,Very unfavorable,Very unfavorable,Somewhat favorable,Very unfavorable,Very favorable,Very favorable
100089,United States,landline,Dissatisfied, , ,Somewhat good,Remain the same,Somewhat good,Improve a little,Worse off,Very favorable,Very favorable,Very favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Very favorable,Don't know,Very favorable
100090,United States,landline,Dissatisfied, , ,Somewhat good,Remain the same,Somewhat good,Remain the same,Same (Volunteered),Very favorable,Somewhat unfavorable,Somewhat favorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable
100091,United States,landline,Don't know, , ,Somewhat good,Improve a little,Very good,Improve a little,Worse off,Somewhat favorable,Somewhat favorable,Very unfavorable,Very unfavorable,Very unfavorable,Somewhat favorable,Somewhat favorable,Don't know,Very unfavorable
100092,United States,landline,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat good,Improve a little,Worse off,Somewhat unfavorable,Very favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Don't know,Somewhat favorable,Somewhat favorable
100093,United States,landline,Satisfied, , ,Somewhat bad,Improve a little,Somewhat good,Improve a little,Better off,Somewhat favorable,Somewhat favorable,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know
100094,United States,landline,Dissatisfied, , ,Very bad,Improve a little,Very bad,Improve a lot,Better off,Very favorable,Somewhat favorable,Very unfavorable,Very unfavorable,Very favorable,Very favorable,Don't know,Don't know,Very unfavorable
100095,United States,landline,Dissatisfied, , ,Somewhat good,Improve a little,Somewhat good,Remain the same,Don't know,Somewhat favorable,Very favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable
100096,United States,landline,Dissatisfied, , ,Very bad,Improve a lot,Somewhat good,Remain the same,Worse off,Somewhat unfavorable,Somewhat favorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable
100097,United States,landline,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat good,Remain the same,Worse off,Very favorable,Very favorable,Somewhat favorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Very unfavorable,Somewhat favorable,Somewhat favorable
100098,United States,landline,Dissatisfied, , ,Somewhat bad,Improve a little,Somewhat bad,Improve a little,Better off,Somewhat favorable,Somewhat favorable,Very unfavorable,Don't know,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
100099,United States,landline,Dissatisfied, , ,Somewhat bad,Worsen a little,Somewhat bad,Remain the same,Worse off,Somewhat unfavorable,Somewhat favorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Very favorable
100100,United States,landline,Satisfied, , ,Somewhat bad,Worsen a little,Somewhat bad,Remain the same,Worse off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable
100101,United States,landline,Dissatisfied, , ,Somewhat bad,Worsen a little,Somewhat good,Remain the same,Worse off,Very favorable,Very favorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable
100102,United States,landline,Dissatisfied, , ,Very bad,Worsen a lot,Somewhat good,Remain the same,Worse off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Very unfavorable,Somewhat favorable,Somewhat favorable
100103,United States,landline,Dissatisfied, , ,Somewhat bad,Worsen a little,Very good,Remain the same,Worse off,Very favorable,Very favorable,Somewhat favorable,Very unfavorable,Somewhat favorable,Very unfavorable,Very unfavorable,Very unfavorable,Very favorable
100104,United States,landline,Dissatisfied, , ,Very bad,Worsen a lot,Somewhat bad,Worsen a lot,Worse off,Very favorable,Somewhat favorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat unfavorable,Very unfavorable,Very unfavorable,Very favorable
100105,United States,landline,Dissatisfied, , ,Very bad,Worsen a lot,Somewhat good,Improve a little,Worse off,Very favorable,Very favorable,Very unfavorable,Very unfavorable,Very unfavorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable,Very favorable
100106,United States,landline,Dissatisfied, , ,Somewhat good,Improve a lot,Somewhat good,Remain the same,Better off,Very favorable,Very favorable,Don't know,Don't know,Don't know,Don't know,Very favorable,Very favorable,Don't know
100107,United States,landline,Satisfied, , ,Somewhat good,Improve a lot,Somewhat bad,Improve a little,Better off,Somewhat favorable,Very favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Very favorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable
100108,United States,landline,Dissatisfied, , ,Somewhat bad,Worsen a little,Somewhat good,Remain the same,Worse off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable
100109,United States,landline,Dissatisfied, , ,Very bad,Worsen a lot,Somewhat bad,Worsen a little,Worse off,Somewhat unfavorable,Somewhat unfavorable,Refused,Refused,Refused,Refused,Refused,Refused,Refused
100110,United States,landline,Dissatisfied, , ,Very bad,Worsen a little,Somewhat good,Remain the same,Better off,Very favorable,Very favorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat unfavorable,Very unfavorable,Somewhat favorable,Very favorable
